pruid,prname,date,numconf,numtotal,numtoday
1,Canada,3/15/2020,249,253,54
59,British Columbia,3/16/2020,73,73,0
48,Alberta,3/16/2020,56,56,17
47,Saskatchewan,3/16/2020,1,6,4
46,Manitoba,3/16/2020,4,7,3
35,Ontario,3/16/2020,145,145,42
24,Quebec,3/16/2020,39,39,15
10,Newfoundland and Labrador,3/16/2020,0,1,0
13,New Brunswick,3/16/2020,1,6,4
12,Nova Scotia,3/16/2020,0,3,3
11,Prince Edward Island,3/16/2020,1,1,0
60,Yukon,3/16/2020,0,0,0
61,Northwest Territories,3/16/2020,0,0,0
62,Nunavut,3/16/2020,0,0,0
99,Repatriated travellers,3/16/2020,4,4,0
1,Canada,3/16/2020,324,341,88
59,British Columbia,3/17/2020,103,103,30
48,Alberta,3/17/2020,74,74,18
47,Saskatchewan,3/17/2020,2,7,1
46,Manitoba,3/17/2020,7,7,0
35,Ontario,3/17/2020,177,177,32
24,Quebec,3/17/2020,50,50,11
10,Newfoundland and Labrador,3/17/2020,0,1,0
13,New Brunswick,3/17/2020,2,7,1
12,Nova Scotia,3/17/2020,0,5,2
11,Prince Edward Island,3/17/2020,1,1,0
60,Yukon,3/17/2020,0,0,0
61,Northwest Territories,3/17/2020,0,0,0
62,Nunavut,3/17/2020,0,0,0
99,Repatriated travellers,3/17/2020,8,8,4
1,Canada,3/17/2020,424,440,99
59,British Columbia,3/18/2020,186,186,83
48,Alberta,3/18/2020,97,97,23
47,Saskatchewan,3/18/2020,2,8,1
46,Manitoba,3/18/2020,8,15,8
35,Ontario,3/18/2020,189,189,12
24,Quebec,3/18/2020,74,74,24
10,Newfoundland and Labrador,3/18/2020,0,3,2
13,New Brunswick,3/18/2020,2,8,1
12,Nova Scotia,3/18/2020,1,7,2
11,Prince Edward Island,3/18/2020,1,1,0
60,Yukon,3/18/2020,0,0,0
61,Northwest Territories,3/18/2020,0,0,0
62,Nunavut,3/18/2020,0,0,0
99,Repatriated travellers,3/18/2020,9,9,1
1,Canada,3/18/2020,569,597,157
59,British Columbia,3/19/2020,271,271,85
48,Alberta,3/19/2020,146,146,49
47,Saskatchewan,3/19/2020,8,20,12
46,Manitoba,3/19/2020,17,17,2
35,Ontario,3/19/2020,258,258,69
24,Quebec,3/19/2020,121,121,47
10,Newfoundland and Labrador,3/19/2020,1,3,0
13,New Brunswick,3/19/2020,7,11,3
12,Nova Scotia,3/19/2020,5,14,7
